PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Casci, T				Casci, Tanita			POPULATION GENETICS A portrait of yeast	NATURE REVIEWS GENETICS																		Casci, Tanita/0000-0002-1838-0027													1471-0056					APR	2009	10	4								10.1038/nrg2561	http://dx.doi.org/10.1038/nrg2561													WOS:000264306000007
J	FELSENSTEIN, J				FELSENSTEIN, J			POPULATION-GENETICS - CHRISTIANSEN,FB, FELDMAN,MW	NATURE																															0028-0836	1476-4687				MAR 12	1987	326	6109					219	220																WOS:A1987G364100106
J	Tinoco, CF; Lima, NE; Lima-Ribeiro, MS; Collevatti, RG				Tinoco, Carla F.; Lima, Natacia E.; Lima-Ribeiro, Matheus S.; Collevatti, Rosane G.			Research and partnerships in studies on population genetics of Neotropical plants: A scientometric evaluation	BIOCHEMICAL SYSTEMATICS AND ECOLOGY																	Collevatti, Rosane/D-8673-2013; LIMA-RIBEIRO, MATHEUS S./H-9503-2014	Collevatti, Rosane/0000-0002-3733-7059; LIMA-RIBEIRO, MATHEUS S./0000-0002-3322-1702													0305-1978	1873-2925				AUG	2015	61						357	365		10.1016/j.bse.2015.07.002	http://dx.doi.org/10.1016/j.bse.2015.07.002													WOS:000361164800048
J	Torres, HM; Robinson, J; Madrigal, JA; Marsh, SGE				Torres, HM; Robinson, J; Madrigal, JA; Marsh, SGE			Cactus, a population genetics analysis environment	TISSUE ANTIGENS					35th Annual SCientific Meeting of the Australasian-Society-for-Immunology/14th International HLA and Immunogenetics Workshops	NOV 29-DEC 02, 2005	Melbourne, AUSTRALIA	Australasian Soc Immunol										Robinson, James/0000-0002-2187-5944													0001-2815					NOV	2005	66	5				391	486	486																WOS:000233542700392
J	Deschenes, M				Deschenes, M			Ethics guidelines for population genetics research	NATURE REVIEWS GENETICS																															1471-0056					JUN	2004	5	6					408	408		10.1038/nrg1372	http://dx.doi.org/10.1038/nrg1372								15188778					WOS:000221759700005
J	MATHEWS, JD				MATHEWS, JD			POPULATION-GENETICS - CHRISTIANSEN,FB, FELDMAN,MW	COMMUNITY HEALTH STUDIES																															0314-9021						1986	10	3					358	358																WOS:A1986F298000023
J	WRIGHT, S				WRIGHT, S			DISCUSSION ON POPULATION GENETICS AND RADIATION	JOURNAL OF CELLULAR AND COMPARATIVE PHYSIOLOGY																																					1950	35	3					187	205		10.1002/jcp.1030350414	http://dx.doi.org/10.1002/jcp.1030350414								15436538					WOS:A1950UM18300023
J	DREUX, P				DREUX, P			CAT POPULATION-GENETICS OF REUNION ISLAND	GENETICS SELECTION EVOLUTION																															0999-193X						1990	22	3					367	371		10.1051/gse:19900310	http://dx.doi.org/10.1051/gse:19900310													WOS:A1990EC83000010
C	WARD, RD		RYLAND, JS; TYLER, PA		WARD, RD			MOLECULAR POPULATION-GENETICS OF MARINE ORGANISMS	REPRODUCTION, GENETICS AND DISTRIBUTIONS OF MARINE ORGANISMS	OLSEN & OLSEN INTERNATIONAL SYMPOSIUM SERIES				23RD EUROPEAN MARINE BIOLOGY SYMP	SEP 05-09, 1988	UNIV WALES, SCH BIOL SCI, SWANSEA, WALES		UNIV WALES, SCH BIOL SCI								Ward, Robert D/A-2319-2012																87-85215-15-5				1989							235	249																WOS:A1989BQ56N00029
J	CROW, JF				CROW, JF			GENERAL THEORY OF POPULATION GENETICS - SYNTHESIS	COLD SPRING HARBOR SYMPOSIA ON QUANTITATIVE BIOLOGY																															0091-7451						1955	20						54	59		10.1101/SQB.1955.020.01.007	http://dx.doi.org/10.1101/SQB.1955.020.01.007								13433554					WOS:A1955WH79100005
B	Templeton, AR	Templeton, AR			Templeton, Alan R.	Templeton, AR		Human Population Genetics and Genomics Preface	HUMAN POPULATION GENETICS AND GENOMICS																																	978-0-12-386026-2; 978-0-12-386025-5				2019							XI	XII																WOS:000465255800001
J	Shapiro, BJ				Shapiro, B. Jesse			The population genetics of pangenomes	NATURE MICROBIOLOGY																	Shapiro, B. Jesse/U-9337-2019	Shapiro, B. Jesse/0000-0001-6819-8699													2058-5276					DEC	2017	2	12					1574	1574		10.1038/s41564-017-0066-6	http://dx.doi.org/10.1038/s41564-017-0066-6								29176697					WOS:000417976600002
B	Blair, ME; Morales-Jimenez, AL		Sterling, EJ; Bynum, N; Blair, ME		Blair, Mary E.; Morales-Jimenez, Alba L.			Population genetics, molecular phylogenetics, and phylogeography	PRIMATE ECOLOGY AND CONSERVATION: A HANDBOOK OF TECHNIQUES	Techniques in Ecology and Conservation Series																																978-0-19-965945-6; 978-0-19-177477-5; 978-0-19-965944-9				2013							238	256				10.1093/acprof:oso/9780199659449.001.0001												WOS:000355679400016
S	Balding, DJ	Balding, DJ			Balding, David J.	Balding, DJ		Some population genetics for DNA evidence	WEIGHT-OF-EVIDENCE FOR FORENSIC DNA PROFILES	Statistics in Practice																Balding, David/G-9898-2011	Balding, David/0000-0002-1480-6115													2162-1217		978-0-470-86769-3				2005							56	81				10.1002/9780470867693												WOS:000302185900006
J	Nijhout, HF				Nijhout, HF			Population genetics and microevolution developmental mechanisms.	AMERICAN ZOOLOGIST																															0003-1569						1999	39	5			SI	78	14A	14A																WOS:000085800400079
C	SAUNDERS, JR		Baumberg, S; Young, JPW; Wellington, EMH; Saunders, JR		SAUNDERS, JR			Population genetics of phase variable antigens	POPULATION GENETICS OF BACTERIA	SYMPOSIA OF THE SOCIETY FOR GENERAL MICROBIOLOGY				52nd Symposium of the Society-for-General-Microbiology on Population Genetics of Bacteria	JAN, 1995	UNIV LEICESTER, LEICESTER, ENGLAND	Soc Gen Microbiol	UNIV LEICESTER																						0081-1394		0-521-48052-3				1995	52						247	268																WOS:A1995BD39A00013
J	Yukilevich, R				Yukilevich, Roman			EVOLUTIONARY POPULATION GENETICS OF DROSOPHILA ANANASSAE	QUARTERLY REVIEW OF BIOLOGY																															0033-5770	1539-7718				SEP	2017	92	3					334	335																WOS:000408309200066
J	MORGAN, K				MORGAN, K			POPULATION-GENETICS AND CYSTIC-FIBROSIS	AMERICAN JOURNAL OF HUMAN GENETICS																															0002-9297					OCT	1991	49	4		S			2	2																WOS:A1991GR30900006
J	Glick, TF				Glick, Thomas F.			Theodosius Dobzhansky's Brazilian Program of Evolutionary Population Genetics	REVISTA BRASILEIRA DE HISTORIA																	Glick, Thomas/R-2737-2019														1806-9347						2008	28	56					315	325		10.1590/S0102-01882008000200002	http://dx.doi.org/10.1590/S0102-01882008000200002													WOS:000265728000001
J	Baquero, F; Coque, TM				Baquero, Fernando; Coque, Teresa M.			Multilevel population genetics in antibiotic resistance	FEMS MICROBIOLOGY REVIEWS																	Coque, Teresa M./F-5013-2015	Coque, Teresa M./0000-0002-8228-3491													0168-6445	1574-6976				SEP	2011	35	5			SI		705	706		10.1111/j.1574-6976.2011.00293.x	http://dx.doi.org/10.1111/j.1574-6976.2011.00293.x								21714793					WOS:000293345800001
J	SMITHWHITE, S				SMITHWHITE, S			SYMPOSIUM 13 - POPULATION GENETICS - INTRODUCTORY-REMARKS	GENETICS																															0016-6731						1975	79			S			85	90											1150091					WOS:A1975AJ11700009
J	Achtman, M				Achtman, Mark			BACTERIAL POPULATION GENETICS IN INFECTIOUS DISEASE	QUARTERLY REVIEW OF BIOLOGY																															0033-5770					DEC	2011	86	4					354	354		10.1086/662458	http://dx.doi.org/10.1086/662458													WOS:000299311100049
J	Krawczak, M				Krawczak, M.			Introduction to population genetics	MEDIZINISCHE GENETIK																	Krawczak, Michael/A-8964-2010	Krawczak, Michael/0000-0003-2603-1502													1863-5490					SEP	2008	20	3					273	275		10.1007/s11825-008-0113-z	http://dx.doi.org/10.1007/s11825-008-0113-z													WOS:000261343000001
J	Cano, P; Fernandez-Vina, M				Cano, P.; Fernandez-Vina, M.			Population genetics of HLA-DRB4 haplotypes	TISSUE ANTIGENS					21st European Immunogenetics and Histocompatibility Conference	MAY 05-08, 2007	Barcelona, SPAIN																								0001-2815					MAY	2007	69	5					451	451																WOS:000245985000207
J	PROUT, T; BUNDGAAR.J; BRYANT, S				PROUT, T; BUNDGAAR.J; BRYANT, S			POPULATION GENETICS OF MEIOTIC DRIVE SUPPRESSORS	GENETICS																	Bundgaard, Jørgen/J-3209-2013														0016-6731						1973	74	JUN					S220	S220																WOS:A1973Q333000632
J	HARPENDING, HC				HARPENDING, HC			POPULATION-GENETICS OF PARENT-OFFSPRING CONFLICT	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY																															0002-9483						1978	48	3					402	403																WOS:A1978EQ62800112
S	Crawford, MH	Madrigal, L			Crawford, Michael H.	Madrigal, L		Population genetics of Afro-Caribbean groups	HUMAN BIOLOGY OF AFRO-CARIBBEAN POPULATIONS	Cambridge Studies in Biological and Evolutionary Anthropology																														1746-2266		978-0-521-81931-2				2006	45						108	124				10.2277/ 0521819318												WOS:000296770200005
J	Rousset, F				Rousset, F			Random samples of Malecot	TRENDS IN ECOLOGY & EVOLUTION																	Rousset, Francois/C-7360-2008; Rousset, Francois/GRJ-3980-2022	Rousset, Francois/0000-0003-4670-0371; Rousset, Francois/0000-0003-4670-0371													0169-5347					FEB	2000	15	2					43	44		10.1016/S0169-5347(99)01791-7	http://dx.doi.org/10.1016/S0169-5347(99)01791-7													WOS:000085525200002
J	Holman, DJ				Holman, DJ			Principles of population genetics, third edition.	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY																															0002-9483					JUL	2000	112	3					433	435		10.1002/1096-8644(200007)112:3<433::AID-AJPA11>3.0.CO;2-G	http://dx.doi.org/10.1002/1096-8644(200007)112:3<433::AID-AJPA11>3.0.CO;2-G													WOS:000087954200011
J	KEMPTHORNE, O				KEMPTHORNE, O			EVALUATION OF CURRENT POPULATION-GENETICS THEORY	AMERICAN ZOOLOGIST																															0003-1569						1983	23	1					111	121																WOS:A1983QH54400012
J	SEN, DK				SEN, DK			ASPECTS OF POPULATION GENETICS IN INDIA	MAN IN INDIA																															0025-1569						1973	53	3					221	230																WOS:A1973Q717500001
J	MACHILL, G; KNAPP, A				MACHILL, G; KNAPP, A			POPULATION GENETICS OF PHENYLKETONURIA IN GDR	HUMAN GENETICS																															0340-6717						1976	31	1					107	111		10.1007/BF00270406	http://dx.doi.org/10.1007/BF00270406								1248817					WOS:A1976BJ27500014
J	Allen, GE				Allen, Garland E.			The origins of theoretical population genetics	HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES																															0391-9714						2006	28	1					113	114																WOS:000243911000027
J	HOLGATE, P				HOLGATE, P			NOTES ON INFORMATION IN POPULATION-GENETICS	JOURNAL OF APPLIED PROBABILITY																															0021-9002	1475-6072					1979	16	3					473	481		10.2307/3213077	http://dx.doi.org/10.2307/3213077													WOS:A1979HV93900002
J	Koch, L				Koch, Linda			POPULATION GENETICS Evolution to the rescue	NATURE REVIEWS GENETICS																															1471-0056	1471-0064				JUL	2019	20	7					375	375		10.1038/s41576-019-0138-y	http://dx.doi.org/10.1038/s41576-019-0138-y								31097779					WOS:000472142800005
J	SAWYER, S				SAWYER, S			BRANCHING DIFFUSION PROCESSES IN POPULATION-GENETICS	ADVANCES IN APPLIED PROBABILITY																															0001-8678	1475-6064					1976	8	4					659	689		10.2307/1425929	http://dx.doi.org/10.2307/1425929													WOS:A1976CW74000031
J	FLEMING, WH				FLEMING, WH			SELECTION-MIGRATION MODEL IN POPULATION GENETICS	JOURNAL OF MATHEMATICAL BIOLOGY																															0303-6812						1975	2	3					219	233		10.1007/BF00277151	http://dx.doi.org/10.1007/BF00277151													WOS:A1975AV39300002
J	RADAM, G; STRAUCH, H				RADAM, G; STRAUCH, H			POPULATION GENETICS OF HUMAN ADENYLATE KINASE	HUMANGENETIK																																					1968	6	1					90	&		10.1007/BF00287161	http://dx.doi.org/10.1007/BF00287161								5699901					WOS:A1968B501300013
J	HOLGATE, P				HOLGATE, P			JORDAN ALGEBRAS ARISING IN POPULATION GENETICS	PROCEEDINGS OF THE EDINBURGH MATHEMATICAL SOCIETY																															0013-0915						1967	15		4				291	&		10.1017/S0013091500011937	http://dx.doi.org/10.1017/S0013091500011937													WOS:A1967A492700006
C	PIGAC, J		BAUMBERG, S; KRUGEL, H; NOACK, D		PIGAC, J			INSTABILITIES AND POPULATION-GENETICS - AN INTRODUCTION	GENETICS AND PRODUCT FORMATION IN STREPTOMYCES	FEMS SYMPOSIUM				SYMP ON GENETICS AND PRODUCT FORMATION IN STREPTOMYCES	MAY 01-06, 1990	ERFURT, FED REP GER	FEDERAT EUROPEAN MICROBIOL SOC																									0-306-43885-2				1991	55						283	286																WOS:A1991BT82Y00032
J	LALOUEL, JM				LALOUEL, JM			CONTROVERSIAL ISSUES IN HUMAN POPULATION GENETICS	AMERICAN JOURNAL OF HUMAN GENETICS																															0002-9297						1974	26	2					262	265											4823033					WOS:A1974S758200017
J	MORTON, NE				MORTON, NE			CONTROVERSIAL ISSUES IN HUMAN POPULATION GENETICS	AMERICAN JOURNAL OF HUMAN GENETICS																															0002-9297						1974	26	2					259	261											4823032					WOS:A1974S758200016
J	Skipper, M				Skipper, Magdalena			POPULATION GENETICS The peopling of Britain	NATURE REVIEWS GENETICS																															1471-0056	1471-0064				MAY	2015	16	5					256	256		10.1038/nrg3938	http://dx.doi.org/10.1038/nrg3938								25824870					WOS:000353164800003
J	Arnaiz-Villena, A; Gomez-Casado, E; Martinez-Laso, J; Alonso-Garcia, A				Arnaiz-Villena, A; Gomez-Casado, E; Martinez-Laso, J; Alonso-Garcia, A			Iberia: Population genetics, anthropology, and linguistics	TISSUE ANTIGENS																	Gomez-Casado, Eduardo/G-5502-2010	Gomez-Casado, Eduardo/0000-0001-6904-1300													0001-2815						2002	59			2			51	51																WOS:000176311300159
J	AI, QH				AI, QH			RESEARCHES ON POPULATION-GENETICS OF UIGURS	AMERICAN JOURNAL OF HUMAN GENETICS																															0002-9297					OCT	1991	49	4		S			501	501																WOS:A1991GR30902856
J	CLARKE, BC				CLARKE, BC			THE POPULATION-GENETICS OF ALCOHOL-DEHYDROGENASE	HEREDITY																															0018-067X						1981	46	APR					291	291																WOS:A1981LP98300030
J	KRUGER, J; VOGEL, F				KRUGER, J; VOGEL, F			POPULATION GENETICS OF UNEQUAL CROSSING OVER	JOURNAL OF MOLECULAR EVOLUTION																															0022-2844	1432-1432					1975	4	3					201	247		10.1007/BF01732983	http://dx.doi.org/10.1007/BF01732983													WOS:A1975V642000001
J	Malecot, G				Malecot, Gustave			THE POPULATION GENETICS - PRINCIPLES AND APPLICATIONS	POPULATION																															0032-4663					APR-JUN	1955	10	2					239	262		10.2307/1525149	http://dx.doi.org/10.2307/1525149													WOS:000203199400003
J	Paterson, S; Viney, ME				Paterson, S; Viney, ME			The interface between epidemiology and population genetics	PARASITOLOGY TODAY																	Paterson, Steve/D-2154-2009	Paterson, Steve/0000-0002-1307-2981													0169-4758					DEC	2000	16	12					528	532		10.1016/S0169-4758(00)01776-2	http://dx.doi.org/10.1016/S0169-4758(00)01776-2								11121850					WOS:000165708600008
J	Sumida, TS; Hafler, DA				Sumida, Tomokazu S.; Hafler, David A.			Population genetics meets single-cell sequencing	SCIENCE																															0036-8075	1095-9203				APR 8	2022	376	6589					134	135		10.1126/science.abq0426	http://dx.doi.org/10.1126/science.abq0426								35389792					WOS:000783316500022
S			Held, C; Koenemann, S; Schubart, CD					Phylogeography and Population Genetics in Crustacea	PHYLOGEOGRAPHY AND POPULATION GENETICS IN CRUSTACEA	CRUSTACEAN ISSUES																														0168-6356		978-1-4398-4074-0; 978-1-4398-4073-3				2011	19						1	370																WOS:000356370700020
J	WOLFE, MS; BARRETT, JA				WOLFE, MS; BARRETT, JA			POPULATION-GENETICS OF POWDERY MILDEW EPIDEMICS	ANNALS OF THE NEW YORK ACADEMY OF SCIENCES																															0077-8923						1977	287	FEB25					151	163		10.1111/j.1749-6632.1977.tb34237.x	http://dx.doi.org/10.1111/j.1749-6632.1977.tb34237.x													WOS:A1977CY67400013
J	AMAND, WS				AMAND, WS			POPULATION GENETICS IN LABORATORY - MODEL SYSTEM	JOURNAL OF HEREDITY																															0022-1503						1971	62	6					370	&		10.1093/oxfordjournals.jhered.a108199	http://dx.doi.org/10.1093/oxfordjournals.jhered.a108199													WOS:A1971L727000013
J	Muers, M				Muers, Mary			POPULATION GENETICS Separating demography from selection	NATURE REVIEWS GENETICS																															1471-0056					MAY	2009	10	5					280	280		10.1038/nrg2581	http://dx.doi.org/10.1038/nrg2581													WOS:000265264300004
J	Rivera, I; Leandro, P; de Almeida, IT; Lechner, MC				Rivera, I; Leandro, P; de Almeida, IT; Lechner, MC			Population genetics of PKU in Portugal	EUROPEAN JOURNAL OF HUMAN GENETICS																	Leandro, Paula/A-8323-2014; de Almeida, Isabel Tavares/F-8319-2014; Rivera, Isabel/A-5863-2014	Leandro, Paula/0000-0002-2946-9342; Rivera, Isabel/0000-0001-6892-729X													1018-4813						1998	6			1		P3072	113	113																WOS:000074522800472
J	KARLIN, S				KARLIN, S			SOME MATHEMATICAL MODELS OF POPULATION GENETICS	AMERICAN MATHEMATICAL MONTHLY																															0002-9890	1930-0972					1972	79	7					699	+		10.2307/2316262	http://dx.doi.org/10.2307/2316262													WOS:A1972N444700001
J	TSAKAS, SC; DAVID, JR				TSAKAS, SC; DAVID, JR			POPULATION-GENETICS AND THE CRETACEOUS EXTINCTION	GENETICS SELECTION EVOLUTION																															0999-193X					DEC	1987	19	4					487	496		10.1051/gse:19870408	http://dx.doi.org/10.1051/gse:19870408								22879301					WOS:A1987L681700008
J	PALATNIK, M				PALATNIK, M			POPULATION GENETICS, MEDICINE AND PUBLIC-HEALTH	MEDICINA-BUENOS AIRES																															0025-7680						1975	35	2					222	228											1134340					WOS:A1975AD06100014
J	CARSON, HL				CARSON, HL			THE POPULATION GENETICS OF DROSOPHILA-ROBUSTA	ADVANCES IN GENETICS INCORPORATING MOLECULAR GENETIC MEDICINE																															0065-2660						1958	9						1	40		10.1016/S0065-2660(08)60158-3	http://dx.doi.org/10.1016/S0065-2660(08)60158-3								13520438					WOS:A1958WY36900001
J	FELSENSTEIN, J				FELSENSTEIN, J			POPULATION-GENETICS - BASIC PRINCIPLES - DOOLITTLE,DP	NATURE																															0028-0836	1476-4687				MAR 10	1988	332	6160					182	182																WOS:A1988M425500075
J	BODMER, WF				BODMER, WF			DIFFERENTIAL FERTILITY IN POPULATION GENETICS MODELS	GENETICS																															0016-6731						1965	51	3					411	&											17248243					WOS:A19656194800009
J	Li, L; Chen, L; Zhang, ZR; Xiao, LQ				Li, Lu; Chen, Li; Zhang, Zhi-Rong; Xiao, Long-Qian			ISOLATION AND CHARACTERIZATION OF MICROSATELLITE MARKERS FROM CLEMATOCLETHRA SCANDENS (ACTINIDIACEAE)	AMERICAN JOURNAL OF BOTANY																															0002-9122					JUN	2012	99	6					E258	E261		10.3732/ajb.1100556	http://dx.doi.org/10.3732/ajb.1100556								22615306					WOS:000305431300010
J	Lau, YH				Lau, Y. Han			Principles of population genetics, 4th edition	ECONOMIC BOTANY																															0013-0001	1874-9364				JUN	2008	62	2					200	201																WOS:000257391800023
J	Casci, T				Casci, T			Population genetics - Evolution, the passive way	NATURE REVIEWS GENETICS																															1471-0056					JAN	2004	5	1					6	6																WOS:000187641100006
J	KIDD, KK				KIDD, KK			PHENYLKETONURIA - POPULATION-GENETICS OF A DISEASE	NATURE																															0028-0836					MAY 28	1987	327	6120					282	283		10.1038/327282a0	http://dx.doi.org/10.1038/327282a0								2884567					WOS:A1987H479800037
J	HARTL, DL; DYKHUIZEN, DE				HARTL, DL; DYKHUIZEN, DE			THE POPULATION-GENETICS OF ESCHERICHIA-COLI	ANNUAL REVIEW OF GENETICS																															0066-4197	1545-2948					1984	18						31	68		10.1146/annurev.ge.18.120184.000335	http://dx.doi.org/10.1146/annurev.ge.18.120184.000335								6099090					WOS:A1984TX31300004
J	PINTUREAU, B				PINTUREAU, B			CURRENT KNOWLEDGE IN APHID POPULATION-GENETICS	ANNEE BIOLOGIQUE																															0003-5017					DEC	1988	27	4					269	292																WOS:A1988R989600002
J	MCALARY, FA				MCALARY, FA			POPULATION-GENETICS OF AN AUTOTOMOUS SEASTAR	AMERICAN ZOOLOGIST																															0003-1569						1988	28	4					A7	A7																WOS:A1988R292100035
J	CAVALLISFORZA, LL				CAVALLISFORZA, LL			CONTROVERSIAL ISSUES IN HUMAN POPULATION GENETICS	AMERICAN JOURNAL OF HUMAN GENETICS																															0002-9297	1537-6605					1974	26	2					266	270											4823034					WOS:A1974S758200018
J	BODMER, WF				BODMER, WF			DISCRETE STOCHASTIC-PROCESSES IN POPULATION-GENETICS	JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY																															1369-7412						1960	22	2					218	244																WOS:A1960XF55400002
J	Goymer, P				Goymer, P			Population genetics - Size doesn't matter	NATURE REVIEWS GENETICS																															1471-0056					JUN	2006	7	6					408	408		10.1038/nrg1887	http://dx.doi.org/10.1038/nrg1887													WOS:000238377000001
C	WEBB, AJ		Cole, DJA; Wiseman, J; Varley, MA		WEBB, AJ			POPULATION GENETICS AND SELECTION FOR HYPERPROLIFICACY	PRINCIPLES OF PIG SCIENCE					1993 Easter School in Agricultural and Food Sciences of the University-of-Nottingham - Principles of Pig Science	1993	NOTTINGHAM, ENGLAND																										1-897676-22-0				1994							1	22																WOS:A1994BC59F00001
J	Guhl, F; Schofield, CJ				Guhl, F; Schofield, CJ			Population genetics and control of triatominae	PARASITOLOGY TODAY																		Guhl, Felipe/0000-0001-7180-7125													0169-4758					MAY	1996	12	5					169	170		10.1016/0169-4758(96)30003-3	http://dx.doi.org/10.1016/0169-4758(96)30003-3													WOS:A1996UF99900001
J	JORDE, L				JORDE, L			PRINCIPLES OF POPULATION-GENETICS - HARTL,DL	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY																															0002-9483						1982	58	4					463	464		10.1002/ajpa.1330580416	http://dx.doi.org/10.1002/ajpa.1330580416													WOS:A1982PC54900014
J	WEIR, BS				WEIR, BS			PRINCIPLES OF POPULATION-GENETICS - HARTL,DL	BIOMETRICS																	Weir, Bruce S/A-2894-2013														0006-341X						1981	37	2					414	415		10.2307/2530432	http://dx.doi.org/10.2307/2530432													WOS:A1981LY83000021
J	BIELICKI, T				BIELICKI, T			POPULATION-GENETICS AND THE RACE PROCESS	INTERNATIONAL SOCIAL SCIENCE JOURNAL																															0020-8701						1965	17	1					91	93																WOS:A1965CFU5800008
J	COOK, LM				COOK, LM			THE EDGE EFFECT IN POPULATION GENETICS	AMERICAN NATURALIST																															0003-0147						1961	95	884					295	307		10.1086/282190	http://dx.doi.org/10.1086/282190													WOS:A1961WJ60400003
J	Tait, A; Wastling, JM; Smith, H; MacLeod, A; Mallon, ME				Tait, A; Wastling, JM; Smith, H; MacLeod, A; Mallon, ME			Response to: population genetics of Cryptosporidium parvum	TRENDS IN PARASITOLOGY																															1471-4922					JAN	2004	20	1					6	6		10.1016/j.pt.2003.10.007	http://dx.doi.org/10.1016/j.pt.2003.10.007													WOS:000188226500003
J	CHOPRA, VP				CHOPRA, VP			CONSEQUENCES OF INCEST RELATIVE TO POPULATION GENETICS	HOMO																															0018-442X						1972	23	4					325	329																WOS:A1972Z108900001
J	CHOPRA, VP				CHOPRA, VP			POPULATION GENETICS OF KUMAUN REGION (NORTHERN INDIA)	HOMO																															0018-442X						1971	22	1					19	28																WOS:A1971Y220000002
J	ERIKSSON, AW; FELLMAN, J; KIRJARIN.M; DRESCHER, R; LEHMANN, W				ERIKSSON, AW; FELLMAN, J; KIRJARIN.M; DRESCHER, R; LEHMANN, W			POPULATION GENETICS OF ADENOSINE DEAMINASE IN FINLAND	SCANDINAVIAN JOURNAL OF CLINICAL & LABORATORY INVESTIGATION																															0036-5513						1970	25						62	&																WOS:A1970H313800196
J	Relethford, JH				Relethford, John H.			Biological distances and population genetics in bioarchaeology	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY					84th Annual Meeting of the American-Association-of-Physical-Anthropologists	MAR 25-28, 2015	St Louis, MO	Amer Assoc Phys Anthropologists																							0002-9483	1096-8644				MAR	2015	156			60	SI		265	265																WOS:000350594901553
J	Przeworski, M				Przeworski, Molly			The Golden Age of Human Population Genetics	SCIENCE																															0036-8075					FEB 4	2011	331	6017					547	547		10.1126/science.1202571	http://dx.doi.org/10.1126/science.1202571								21292966					WOS:000286933600039
J	Thompson, EE; Perera, M; Kuttab-Boulos, H; Di Rienzo, A				Thompson, Emma E.; Perera, Minoli; Kuttab-Boulos, Hala; Di Rienzo, Anna			CYP3A variation: Population genetics and phenotypic consequences	DRUG METABOLISM REVIEWS					14th North American Meeting of the International-Society-for-the-Study-of-Xenobiotics	OCT 22-26, 2006	Rio Grande, PR	Int Soc Study Xenobiot																							0360-2532						2006	38			2		27	15	16																WOS:000241506600025
J	CHARLESWORTH, B				CHARLESWORTH, B			POPULATION-GENETICS - ADAPTIVE EVOLUTION IN THE LABORATORY	NATURE																															0028-0836						1983	302	5908					479	480		10.1038/302479a0	http://dx.doi.org/10.1038/302479a0													WOS:A1983QJ97000025
B	Nielsen, R; Slatkin, M				Nielsen, R; Slatkin, M			Introduction to Population Genetics: Theory and Applications	INTRODUCTION TO POPULATION GENETICS: THEORY AND APPLICATIONS																																	978-1-60535-153-7				2013							1	287																WOS:000321879700017
J	OLAISEN, B; TEISBERG, P; JONASSEN, R; GEDDEDAHL, T				OLAISEN, B; TEISBERG, P; JONASSEN, R; GEDDEDAHL, T			C-4 SYSTEM - FORMAL AND POPULATION-GENETICS	HUMAN GENETICS																															0340-6717						1979	50	2					187	192		10.1007/BF00390240	http://dx.doi.org/10.1007/BF00390240								511133					WOS:A1979HK32600007
J	NORTON, BJ				NORTON, BJ			ORIGINS OF THEORETICAL POPULATION GENETICS - PROVINE,WB	ANNALS OF SCIENCE																															0003-3790						1975	32	6					606	608																WOS:A1975AY98200022
J	CHOPRA, V				CHOPRA, V			MATHEMATICAL TOPICS IN POPULATION GENETICS - KOJIMA,K	HOMO																															0018-442X						1971	22	4					280	280																WOS:A1971Y220300009
J	Kim, KS; Sappington, TW				Kim, Kyung Seok; Sappington, Thomas W.			Population genetics strategies to characterize long-distance dispersal of insects	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY																		Sappington, Thomas/0000-0002-4083-4101													1226-8615					MAR	2013	16	1					87	97		10.1016/j.aspen.2012.11.004	http://dx.doi.org/10.1016/j.aspen.2012.11.004													WOS:000315126700015
J	Casci, T				Casci, Tanita			Population genetics - Rich pastures for cattle genomics	NATURE REVIEWS GENETICS																		Casci, Tanita/0000-0002-1838-0027													1471-0056					APR	2008	9	4					251	251		10.1038/nrg2347	http://dx.doi.org/10.1038/nrg2347													WOS:000254084100006
J	Alt, KW				Alt, KW			Genomic diversity. Applications in human population genetics.	HOMO-JOURNAL OF COMPARATIVE HUMAN BIOLOGY																															0018-442X						2001	52	3					288	288																WOS:000175121500019
J	HENNEBERG, KB; WALTER, H				HENNEBERG, KB; WALTER, H			GENETICS AND POPULATION-GENETICS OF GM(4)	HUMAN HEREDITY																															0001-5652						1976	26	1					8	15		10.1159/000152778	http://dx.doi.org/10.1159/000152778								955639					WOS:A1976BU20500003
