PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Brewer, MS; Gardner, GE				Brewer, Michael S.; Gardner, Grant E.			Teaching Evolution through the Hardy-Weinberg Principle: A Real-Time, Active-Learning Exercise Using Classroom Response Devices	AMERICAN BIOLOGY TEACHER																	Gardner, Grant/E-7110-2016	Gardner, Grant/0000-0001-6068-7295													0002-7685	1938-4211				SEP	2013	75	7					476	479		10.1525/abt.2013.75.7.6	http://dx.doi.org/10.1525/abt.2013.75.7.6													WOS:000330570400006
B	Barrett, JC		Zeggini, E; Morris, A		Barrett, Jeffrey C.			Population Genetics and Linkage Disequilibrium	ANALYSIS OF COMPLEX DISEASE ASSOCIATION STUDIES: A PRACTICAL GUIDE																																	978-0-12-375143-0				2011							15	23		10.1016/B978-0-12-375142-3.10002-1	http://dx.doi.org/10.1016/B978-0-12-375142-3.10002-1													WOS:000322375500002
J	KAMBOH, MI; BHATIA, KK; FERRELL, RE				KAMBOH, MI; BHATIA, KK; FERRELL, RE			GENETIC-STUDIES OF HUMAN APOLIPOPROTEINS .12. POPULATION-GENETICS OF APOLIPOPROTEINS IN PAPUA-NEW-GUINEA	AMERICAN JOURNAL OF HUMAN BIOLOGY																															1042-0533						1990	2	1					17	23		10.1002/ajhb.1310020103	http://dx.doi.org/10.1002/ajhb.1310020103								28520258					WOS:A1990DC81400002
J	TERTIKAS, A				TERTIKAS, A			EXISTENCE AND UNIQUENESS OF SOLUTIONS FOR A NONLINEAR DIFFUSION PROBLEM ARISING IN POPULATION-GENETICS	ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS																															0003-9527	1432-0673					1988	103	4					289	317																WOS:A1988Q560500001
J	BERG, K; RODEWALD, A; SCHWARZFISCHER, F; WISCHERATH, H				BERG, K; RODEWALD, A; SCHWARZFISCHER, F; WISCHERATH, H			POPULATION-GENETICS OF GLYOXALASE I (E.C.4.4.1.5) IN HUMAN ERYTHROCYTES	ZEITSCHRIFT FUR RECHTSMEDIZIN-JOURNAL OF LEGAL MEDICINE																															0044-3433						1977	79	1					13	15											848131					WOS:A1977CT59900003
J	ITATSU, S				ITATSU, S			ERGODIC PROPERTIES OF THE EQUILIBRIUM MEASURE OF THE STEPPING STONE MODEL IN POPULATION-GENETICS	NAGOYA MATHEMATICAL JOURNAL																															0027-7630	2152-6842					1981	83	OCT					37	51		10.1017/S0027763000019413	http://dx.doi.org/10.1017/S0027763000019413													WOS:A1981MN50100004
J	Valero, M; Engel, C; Billot, C; Kloareg, B; Destombe, C				Valero, M; Engel, C; Billot, C; Kloareg, B; Destombe, C			Concepts and issues of population genetics in seaweeds	CAHIERS DE BIOLOGIE MARINE					International Workshop on Current Approaches in Basic and Applied Phycology	DEC 05-13, 1998	PONTIFICIA UNIV CATOLICA CHILE, LAS CRUCES, CHILE	FONDAP, CONYCIT, Minist Affaires Etrangeres, CNRS PICS, Soc Biol Chile, Soc Ecol Chile, Int Seaweed Assoc, CIMM PUC, Univ Los Lagos, Univ Austral Chile	PONTIFICIA UNIV CATOLICA CHILE								Valero, Myriam/C-7550-2011; Valero, Myriam/M-6052-2019; Destombe, Christophe/G-5317-2012	Valero, Myriam/0000-0002-9000-1423; Valero, Myriam/0000-0002-9000-1423; Destombe, Christophe/0000-0001-5656-9659													0007-9723	2262-3094					2001	42	1-2					53	62																WOS:000168120500006
J	Conrad, DF; Hurles, ME				Conrad, Donald F.; Hurles, Matthew E.			The population genetics of structural variation	NATURE GENETICS																															1061-4036	1546-1718				JUL	2007	39			7			S30	S36		10.1038/ng2042	http://dx.doi.org/10.1038/ng2042								17597779					WOS:000253974400006
J	Hastings, IM				Hastings, IM			Population genetics - XYZW as nature's language of love?	HEREDITY																		Hastings, Ian/0000-0002-1332-742X													0018-067X					APR	2006	96	4					278	279		10.1038/sj.hdy.6800795	http://dx.doi.org/10.1038/sj.hdy.6800795								16508665					WOS:000236390700002
J	Spencer, HG; Feldman, MW				Spencer, HG; Feldman, MW			Adaptive dynamics, game theory and evolutionary population genetics	JOURNAL OF EVOLUTIONARY BIOLOGY																	Spencer, Hamish G/B-9637-2008	Spencer, Hamish G/0000-0001-7531-597X													1010-061X	1420-9101				SEP	2005	18	5					1191	1193		10.1111/j.1420-9101.2004.00842.x	http://dx.doi.org/10.1111/j.1420-9101.2004.00842.x								16135112					WOS:000231508900011
C	Lanzaro, GC; Nuzhdin, S; Tripet, F		Knols, BGJ; Louis, C		Lanzaro, GC; Nuzhdin, S; Tripet, F			Tools for monitoring the genetic structure and stability of mosquito populations	BRIDGING LABORATORY AND FIELD RESEARCH FOR GENETIC CONTROL OF DISEASE VECTORS	WAGENINGEN UR FRONTIS SERIES				Conference on Bridging Laboratory and Field Research for Genetic Control of Disease Vectors	JUL, 2004	Nairobi, KENYA	UNICEF, UNDP, World Bank, WHO, Special Programme Res & Training Tropical Dis, Natl Inst Allergy & Infect Dis, US Natl Inst Hlth, Int Atom Energy Agcy, Wageningen Univ & Res Ctr, Frontis																							1573-4544		1-4020-3799-6				2006	11						157	+		10.1007/1-4020-3799-6_14	http://dx.doi.org/10.1007/1-4020-3799-6_14													WOS:000236353200012
J	Faust, C; Crotti, M; Adekanale, E; Oguttu, D; Wamboko, A; Adriko, M; Nankasi, A; Moses, A; Besigye, F; Rowel, C; Ajambo, D; Alon, A; Tukahebwa, E; Norton, A; Webster, J; Lamberton, PH				Faust, Christina; Crotti, Marco; Adekanale, Elizabeth; Oguttu, David; Wamboko, Aidah; Adriko, Moses; Nankasi, Andrina; Moses, Arinaitwe; Besigye, Fred; Rowel, Candia; Ajambo, Diana; Alon, Atuhire; Tukahebwa, Edridah; Norton, Alice; Webster, Joanne; Lamberton, Poppy			POPULATION GENETICS OF SCHISTOSOME PARASITES IN SCHOOL AGED CHILDREN BEFORE AND AFTER PRAZIQUANTEL TREATMENT	AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE					67th Annual Meeting of the American-Society-of-Tropical-Medicine-and-Hygiene (ASTHM)	OCT 28-NOV 01, 2018	New Orleans, LA	Amer Soc Trop Med & Hyg, Bill & Melinda Gates Fdn, Takeda Pharmaceut Int AG, Novartis Social Business, Celgene Corp, Techlab Inc, Indiana Univ, Sch Med, B EI Resources, Sanofi Pasteur, Welcome, PLOS, Elsevier									Lamberton, Poppy/AAR-3591-2020; ROWEL, CANDIA/AAE-3088-2019														0002-9637	1476-1645					2018	99	4		S		57	19	19																WOS:000461386602057
J	NEWMAN, WI				NEWMAN, WI			SOME EXACT-SOLUTIONS TO A NON-LINEAR DIFFUSION PROBLEM IN POPULATION-GENETICS AND COMBUSTION	JOURNAL OF THEORETICAL BIOLOGY																	Newman, William I/E-5918-2011	Newman, William I/0000-0002-9835-1428													0022-5193	1095-8541					1980	85	2					325	334		10.1016/0022-5193(80)90024-7	http://dx.doi.org/10.1016/0022-5193(80)90024-7								7431959					WOS:A1980KE69200008
J	DERUITER, JR; WICKINGS, EJ; SCHEFFRAHN, W; MENARD, N; BRUFORD, M; INOUE, M				DERUITER, JR; WICKINGS, EJ; SCHEFFRAHN, W; MENARD, N; BRUFORD, M; INOUE, M			SYMPOSIUM ON GENETIC-MARKERS (DNA-TYPING, PROTEINS) IN SOCIOBIOLOGY AND POPULATION-GENETICS - INTRODUCTORY-REMARKS	PRIMATES																	Bruford, Michael W/D-3750-2009; Bruford, Michael/Y-7463-2019	Bruford, Michael W/0000-0001-6357-6080; Bruford, Michael/0000-0001-6357-6080													0032-8332					JUL	1993	34	3					321	321		10.1007/BF02382627	http://dx.doi.org/10.1007/BF02382627													WOS:A1993LV81200008
J	Muller, S; Hofbauer, J				Mueller, S.; Hofbauer, J.			Genetic Recombination as a Chemical Reaction Network	MATHEMATICAL MODELLING OF NATURAL PHENOMENA																		Muller, Stefan/0000-0002-3541-7856													0973-5348	1760-6101					2015	10	5					84	99		10.1051/mmnp/201510506	http://dx.doi.org/10.1051/mmnp/201510506													WOS:000361271700006
J	SHAW, RF; KALLEN, RJ				SHAW, RF; KALLEN, RJ			POPULATION-GENETICS OF ALPORTS SYNDROME - HYPOTHESIS OF ABNORMAL SEGREGATION AND NECESSARY EXISTENCE OF MUTATION	NEPHRON																															0028-2766						1976	16	6					427	432		10.1159/000180666	http://dx.doi.org/10.1159/000180666								1264314					WOS:A1976BP74200003
J	KIMURA, M				KIMURA, M			DIFFUSION-MODEL OF POPULATION-GENETICS INCORPORATING GROUP SELECTION, WITH SPECIAL REFERENCE TO AN ALTRUISTIC TRAIT	LECTURE NOTES IN MATHEMATICS																															0075-8434	1617-9692					1986	1203						101	118																WOS:A1986E537500008
J	POWELL, JR; LICHTENFELS, JM				POWELL, JR; LICHTENFELS, JM			POPULATION-GENETICS OF DROSOPHILA AMYLASE .1. GENETIC-CONTROL OF TISSUE-SPECIFIC EXPRESSION IN DROSOPHILA-PSEUDOOBSCURA	GENETICS																															0016-6731						1979	92	2					603	612											488706					WOS:A1979HJ65700016
J	SCHLIWA, R; WALTER, H; TSIAKALOS, G				SCHLIWA, R; WALTER, H; TSIAKALOS, G			INVESTIGATIONS OF THE POPULATION-GENETICS OF HBS, THALASSEMIA AND G-6-PD DEFICIENCY IN GREECE	JOURNAL OF HUMAN EVOLUTION																															0047-2484						1983	12	8					703	703		10.1016/S0047-2484(83)80096-7	http://dx.doi.org/10.1016/S0047-2484(83)80096-7													WOS:A1983SU87200058
J	Gaitanis, G; Velegraki, A; Menounos, P; Frangoulis, E; Legakis, NJ; Katsambas, A				Gaitanis, G; Velegraki, A; Menounos, P; Frangoulis, E; Legakis, NJ; Katsambas, A			PCR-SSCP analysis: A powerful tool for Malassezia species population genetics in related inflammatory dermatoses	JOURNAL OF INVESTIGATIVE DERMATOLOGY																	Velegraki, Aristea/AAG-6798-2019; Gaitanis, Georgios/AAD-1364-2020														0022-202X					JUL	2002	119	1	2			368	269	269																WOS:000177428100371
J	PAPIHA, SS; ROBERTS, DF; WHITE, I; CHAHAL, SMS; ASEFI, JA				PAPIHA, SS; ROBERTS, DF; WHITE, I; CHAHAL, SMS; ASEFI, JA			POPULATION-GENETICS OF THE GROUP-SPECIFIC COMPONENT (GC) AND PHOSPHOGLUCOMUTASE (PGM1) STUDIED BY ISOELECTRIC-FOCUSING	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY																															0002-9483						1982	59	1					1	7		10.1002/ajpa.1330590102	http://dx.doi.org/10.1002/ajpa.1330590102								6182804					WOS:A1982PG16800001
J	Schwartz, TS; Klabacka, RL; Gangloff, EJ; Bronikowski, AM				Schwartz, T. S.; Klabacka, R. L.; Gangloff, E. J.; Bronikowski, A. M.			Population genetics of the electron transport chain in snake populations exhibiting divergent resting metabolic rates.	INTEGRATIVE AND COMPARATIVE BIOLOGY					Annual Meeting of the Society-for-Integrative-and-Comparative-Biology (SICB)	JAN 03-07, 2019	Tampa, FL	Soc Integrat & Comparat Biol									Gangloff, Eric/V-1963-2019														1540-7063	1557-7023				MAR	2019	59			1		P2-29	E404	E404																WOS:000460620905093
J	MEMPEL, W; GROSSEWI.H; BAUMANN, P; NETZEL, B; STEINBAU.I; SCHOLZ, S; BERTRAMS, J; ALBERT, ED				MEMPEL, W; GROSSEWI.H; BAUMANN, P; NETZEL, B; STEINBAU.I; SCHOLZ, S; BERTRAMS, J; ALBERT, ED			POPULATION GENETICS OF MLC RESPONSE - TYPING FOR MLC DETERMINANTS USING HOMOZYGOUS AND HETEROZYGOUS REFERENCE CELLS	TRANSPLANTATION PROCEEDINGS																															0041-1345						1973	5	4					1529	1534											4130061					WOS:A1973S005500036
J	Wolinsky, H				Wolinsky, Howard			Our history, our genes - Population genetics lets researchers look back in time at human migrations	EMBO REPORTS																															1469-221X	1469-3178				FEB	2008	9	2					127	129		10.1038/sj.embor.7401164	http://dx.doi.org/10.1038/sj.embor.7401164								18246104					WOS:000253778400006
J	Carson, EA				Carson, EA			Environmental effects on population genetics models: A test of Australian microevolution since the Late Pleistocene.	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY																															0002-9483						2001				32			48	48																WOS:000167358000073
J	OHTA, T				OHTA, T			POPULATION-GENETICS THEORY OF CONCERTED EVOLUTION AND ITS APPLICATION TO THE IMMUNOGLOBULIN-V GENE TREE	JOURNAL OF MOLECULAR EVOLUTION																															0022-2844	1432-1432					1984	20	3-4					274	280		10.1007/BF02104733	http://dx.doi.org/10.1007/BF02104733								6439881					WOS:A1984TM99200008
J	Werren, EA; Norton, HL; Bigham, AW				Werren, Elizabeth A.; Norton, Heather L.; Bigham, Abigail W.			Population genetics analysis of Southeast Asian Ovalocytosis in a cohort of individuals from Island Melanesia	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY					86th Annual Meeting of the American-Association-of-Physical-Anthropologists (AAPA)	APR 19-22, 2017	New Orleans, LA																								0002-9483	1096-8644				APR	2017	162			64			406	406																WOS:000423063104324
J	BUROKER, N; DAY, J; SCOTT, CR				BUROKER, N; DAY, J; SCOTT, CR			POPULATION-GENETICS OF THE HUMAN MUC1-LOCUS IN ASIAN, BLACK, CAUCASIAN, HISPANIC AND NATIVE-AMERICANS	AMERICAN JOURNAL OF HUMAN GENETICS																															0002-9297					OCT	1991	49	4		S			502	502																WOS:A1991GR30902865
J	HARVEY, P				HARVEY, P			MAMMALIAN DISPERSAL PATTERNS - THE EFFECTS OF SOCIAL-STRUCTURE ON POPULATION-GENETICS - CHEPKOSADE,BD, HALPIN,ZT	NATURE																															0028-0836					MAY 12	1988	333	6169					127	127		10.1038/333127a0	http://dx.doi.org/10.1038/333127a0													WOS:A1988N345500044
J	HASTINGS, A				HASTINGS, A			MULTILOCUS POPULATION-GENETICS WITH WEAK EPISTASIS .1. EQUILIBRIUM PROPERTIES OF 2-LOCUS 2-ALLELE MODELS	GENETICS																	Hastings, Alan/A-7423-2008; Hastings, Alan/O-6864-2019	Hastings, Alan/0000-0002-0717-8026													0016-6731						1985	109	4					799	812											3921428					WOS:A1985ADU5400010
J	GALLAGHER, JC				GALLAGHER, JC			POPULATION-GENETICS OF SKELETONEMA-COSTATUM (GREV) CLEVE OVER YEARLY CYCLES OF ABUNDANCE IN NARRAGANSETT BAY	JOURNAL OF PHYCOLOGY																															0022-3646						1977	13			S			23	23																WOS:A1977DM21700124
J	NORTON, B				NORTON, B			METAPHYSICS AND POPULATION GENETICS - PEARSON,K AND BACKGROUND TO FISHERS MULTI-FACTORIAL THEORY OF INHERITANCE	ANNALS OF SCIENCE																															0003-3790	1464-505X					1975	32	6					537	553		10.1080/00033797500200461	http://dx.doi.org/10.1080/00033797500200461													WOS:A1975AY98200002
J	[Anonymous]				[Anonymous]			STATISTICAL-METHODS OF POPULATION-GENETICS - AN OUTLINE FOR GENETICISTS, AGRONOMISTS AND BIOMATHEMATICIANS - GERMAN - LEROY,HL	POPULATION																															0032-4663						1961	16	3					540	541																WOS:A1961CKW8800022
J	BODMER, J; BODMER, WF				BODMER, J; BODMER, WF			POPULATION GENETICS OF HL-A SYSTEM - SUMMARY OF DATA FROM FIFTH INTERNATIONAL HISTOCOMPATIBILITY TESTING WORKSHOP	ISRAEL JOURNAL OF MEDICAL SCIENCES																		Bodmer, Walter/0000-0001-6244-9792													0021-2180						1973	9	9-10					1257	1268											4775109					WOS:A1973R448200012
S	Vlad, MO; Ross, J		Rice, SA		Vlad, Marcel O.; Ross, John			INVERSE PROBLEMS FOR REACTION-DIFFUSION SYSTEMS WITH APPLICATION TO GEOGRAPHICAL POPULATION GENETICS	SPECIAL VOLUME IN MEMORY OF ILYA PRIGOGINE	Advances in Chemical Physics				Symposium on Memorium of Ilya Prigogine on Time, Irreversibility and Self-Organization	DEC 02-03, 2004	Univ Brussels, Int Solvay Inst Phys & Chem, Brussels, BELGIUM	European Commiss, Fonds Wetenschappelijk Onderzoek, Belgian Natl Lottery, Communaute Francaise Belgique, Hotel Metropole	Univ Brussels, Int Solvay Inst Phys & Chem																						0065-2385		978-0-471-68233-2				2007	135						173	187																WOS:000266631000005
J	GRANT, WS; TEEL, DJ; KOBAYASHI, T; SCHMITT, C				GRANT, WS; TEEL, DJ; KOBAYASHI, T; SCHMITT, C			BIOCHEMICAL POPULATION-GENETICS OF PACIFIC HALIBUT (HIPPOGLOSSUS-STENOLEPIS) AND COMPARISON WITH ATLANTIC HALIBUT (H-HIPPOGLOSSUS)	CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES																															0706-652X						1984	41	7					1083	1088		10.1139/f84-127	http://dx.doi.org/10.1139/f84-127													WOS:A1984TA70400011
J	D'Arcangelo, K; Rahman, A; Miles, TD; Quesada, LM				D'Arcangelo, K.; Rahman, A.; Miles, T. D.; Quesada, L. M.			Utilizing a population genetics approach to provide crop-specific management strategies for cucurbit downy mildew	PHYTOPATHOLOGY					Meeting of the Southern-Division-of-the-American-Pytopathological-Society (APS)	FEB 09-12, 2020	Charleston, SC	Amer Pytopathol Soc, So Div																							0031-949X	1943-7684				JUL	2020	110	7		S			7	7																WOS:000555426800022
J	Durand, E; Chen, C; Francois, O				Durand, Eric; Chen, Chibiao; Francois, Olivier			Comment on 'On the inference of spatial structure from population genetics data'	BIOINFORMATICS																	Francois, Olivier/AAQ-3137-2020; Francois, Olivier/A-6051-2012	Francois, Olivier/0000-0003-2402-2442; Francois, Olivier/0000-0003-2402-2442													1367-4803	1460-2059				JUL 15	2009	25	14					1802	1804		10.1093/bioinformatics/btp337	http://dx.doi.org/10.1093/bioinformatics/btp337								19574292					WOS:000267665900013
J	Mayher, JL; Corruccini, RS; Reddy, VR				Mayher, J. L.; Corruccini, R. S.; Reddy, V. Rami			An anthroposcopic approach to South Indian human population genetics: Coalescence of data from the literature.	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY																															0002-9483						2007				44			166	167																WOS:000244656500463
J	MANGUIN, S				MANGUIN, S			POPULATION-GENETICS AND BIOCHEMICAL SYSTEMATICS OF MARSH FLIES IN THE SEPEDON-FUSCIPENNIS GROUP (DIPTERA, SCIOMYZIDAE)	BIOCHEMICAL SYSTEMATICS AND ECOLOGY																	Manguin, Sylvie/GOE-5338-2022; Manguin, Sylvie/G-1787-2015	Manguin, Sylvie/0000-0002-5925-7164; Manguin, Sylvie/0000-0002-5925-7164													0305-1978	1873-2925					1990	18	6					447	452		10.1016/0305-1978(90)90091-S	http://dx.doi.org/10.1016/0305-1978(90)90091-S													WOS:A1990EH06200010
J	LUI, R				LUI, R			A NONLINEAR INTEGRAL OPERATOR ARISING FROM A MODEL IN POPULATION-GENETICS .3. HETEROZYGOTE INFERIOR CASE	SIAM JOURNAL ON MATHEMATICAL ANALYSIS																															0036-1410	1095-7154					1985	16	6					1180	1206		10.1137/0516087	http://dx.doi.org/10.1137/0516087													WOS:A1985ATQ5700005
J	SCHAEFFER, SW; KELLER, EC; BUROKER, NE				SCHAEFFER, SW; KELLER, EC; BUROKER, NE			POPULATION-GENETICS OF MELAMPUS-BIDENTATUS (GASTROPODA, PULMONATA) - THE EFFECT OF PLANKTONIC DEVELOPMENT ON GENE FLOW	GENETICA																	Schaeffer, Stephen W/B-1662-2010														0016-6707	1573-6857					1985	66	3					224	229																WOS:A1985AMH8700008
J	BUROKER, NE; HERSHBERGER, WK; CHEW, KK				BUROKER, NE; HERSHBERGER, WK; CHEW, KK			POPULATION-GENETICS OF THE FAMILY OSTREIDAE .1. INTRASPECIFIC STUDIES OF CRASSOSTREA-GIGAS AND SACCOSTREA-COMMERCIALIS	MARINE BIOLOGY																															0025-3162						1979	54	2					157	169		10.1007/BF00386595	http://dx.doi.org/10.1007/BF00386595													WOS:A1979HR22200007
J	OLVERA, O; POWELL, JR; ROSA, MEDL; SALCEDA, VM; GASO, MI; GUZMAN, J; ANDERSON, WW; LEVINE, L				OLVERA, O; POWELL, JR; ROSA, MEDL; SALCEDA, VM; GASO, MI; GUZMAN, J; ANDERSON, WW; LEVINE, L			POPULATION-GENETICS OF MEXICAN DROSOPHILA .6. CYTOGENETIC ASPECTS OF THE INVERSION POLYMORPHISM IN DROSOPHILA-PSEUDOOBSCURA	EVOLUTION																															0014-3820						1979	33	1					381	395		10.2307/2407628	http://dx.doi.org/10.2307/2407628								28568185					WOS:A1979GV98300012
J	Lacerda, M; Seoighe, C				Lacerda, M.; Seoighe, C.			Population Genetics Inference for Longitudinally-Sampled Mutants Under Strong Selection (vol 198, pg 1237, 2014)	GENETICS																															0016-6731	1943-2631				MAR	2015	199	3					885	885																WOS:000350733900021
J	Ndo, C; Antonio-Nkondjio, C; Cohuet, A; Kengne, P; Ayala, D; Ngassam, P; Morlais, I; Fontenille, D; Simard, F				Ndo, Cyrille; Antonio-Nkondjio, Christophe; Cohuet, Anna; Kengne, Pierre; Ayala, Diego; Ngassam, Pierre; Morlais, Isabelle; Fontenille, Didier; Simard, Frederic			EPIDEMIOLOGICAL IMPORTANCE AND POPULATION GENETICS OF THE HUMAN MALARIA MOSQUITO ANOPHELES NILI SL IN AFRICA	AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE					58th Annual Meeting of the American-Society-of-Tropical-Medicine-and-Hygiene	NOV 18-22, 2009	Washington, DC	Amer Soc Trop Med & Hyg									Frederic, SIMARD/AFV-5001-2022; FONTENILLE, didier/G-4091-2013; Ayala, Diego/A-8852-2012; Ayala, Diego/J-6788-2016; SIMARD, Frederic/J-9489-2016	Frederic, SIMARD/0000-0002-2871-5329; Ayala, Diego/0000-0003-4726-580X; SIMARD, Frederic/0000-0002-2871-5329													0002-9637					NOV	2009	81	5		S		720	207	207																WOS:000271956701136
J	ROGERS, J				ROGERS, J			MAMMALIAN DISPERSAL PATTERNS - THE EFFECTS OF SOCIAL-STRUCTURE ON POPULATION-GENETICS - CHEPKOSADE,BD, HALPIN,ZT	JOURNAL OF HUMAN EVOLUTION																															0047-2484					MAY	1990	19	3					327	329		10.1016/0047-2484(90)90075-M	http://dx.doi.org/10.1016/0047-2484(90)90075-M													WOS:A1990DD16300008
